DAY,SYMBOL,TOTAL_BORROWS,TOTAL_LIQUIDITY,UTILIZATION_RATE
2022-03-02 00:00:00.000,USDC,1256942413.80269,2199874897.13347,0.5713699517
2022-04-12 00:00:00.000,USDC,2243016307.48721,2984806751.45159,0.7514778993
2021-06-23 00:00:00.000,USDC,3188819220.66176,4580005542.85185,0.6962478955
2021-07-11 00:00:00.000,USDC,2845818731.14696,4126579437.19208,0.6896313943
2022-07-20 00:00:00.000,USDC,212678693.135479,1000787504.91769,0.2125113394
2021-11-22 00:00:00.000,USDC,2768982929.4324,3294334907.36298,0.8405286673
2021-03-05 00:00:00.000,USDC,406067819.132625,468472174.899929,0.866791756
2021-05-30 00:00:00.000,USDC,3010361156.25991,4408354156.28817,0.6828764318
2022-01-21 00:00:00.000,USDC,2493810342.92922,3476766006.59793,0.7172787407
2022-12-13 00:00:00.000,USDC,322927399.052691,757091087.812304,0.4265370498
2021-06-12 00:00:00.000,USDC,3285257606.70916,4486510835.75767,0.7322522394
2020-05-24 00:00:00.000,USDC,874085.266712872,2564069.42635225,0.3408976597
2022-08-17 00:00:00.000,USDC,297748748.19402,1245744948.76615,0.2390126073
2020-08-26 00:00:00.000,USDC,63579922.1737776,241882525.519762,0.2628545491
2022-07-03 00:00:00.000,USDC,363697765.611652,1413960986.86836,0.2572190951
2022-07-04 00:00:00.000,USDC,362685905.630633,1442004548.18345,0.2515150913
2022-02-21 00:00:00.000,USDC,1571444518.11893,2722714971.10527,0.5771608614
2021-04-22 00:00:00.000,USDC,746936814.211648,849543706.972057,0.8792211726
2021-05-23 00:00:00.000,USDC,2492412835.41078,3156746106.04195,0.7895512505
2022-07-01 00:00:00.000,USDC,448549973.897163,1345986855.59387,0.3332498917
2022-07-29 00:00:00.000,USDC,287406623.07653,1029791454.11079,0.2790920646
2021-04-23 00:00:00.000,USDC,686496533.890563,853547808.733201,0.8042859777
2020-08-18 00:00:00.000,USDC,41736977.4486579,236474511.694414,0.1764967275
2020-07-13 00:00:00.000,USDC,5039512.20721288,7065020.43586102,0.7133046893
2021-06-14 00:00:00.000,USDC,3305049733.43225,4460065838.82509,0.741031602
2022-08-06 00:00:00.000,USDC,304292339.754535,1037552404.92659,0.2932790077
2022-08-20 00:00:00.000,USDC,260756729.16775,1306701818.00651,0.199553353
2022-11-14 00:00:00.000,USDC,313760396.467162,958447388.756535,0.3273631919
2022-12-29 00:00:00.000,USDC,311500993.489407,734789379.944474,0.4239323567
2022-08-29 00:00:00.000,USDC,255245186.696641,1283668676.23984,0.198840395
2022-02-16 00:00:00.000,USDC,2172486192.95444,3328362051.01813,0.6527193135
