,label,values
1355,compound,0.296
1356,neg,0.0
1357,neu,0.408
1358,pos,0.592
1359,compound,0.4404
1360,neg,0.0
1361,neu,1.0
1362,pos,0.0
1363,compound,0.0
1364,neg,0.0
1365,neu,1.0
1366,pos,0.0
1367,compound,0.0
1368,neg,0.0
1369,neu,1.0
1370,pos,0.0
1371,compound,0.0
1372,neg,0.0
1373,neu,1.0
1374,pos,0.0
1375,compound,0.0
1376,neg,0.0
1377,neu,0.93
1378,pos,0.07
1379,compound,0.8062
1380,neg,0.0
1381,neu,1.0
1382,pos,0.0
1383,compound,0.0
1384,neg,0.0
1385,neu,0.614
1386,pos,0.386
1387,compound,0.5267
1388,neg,0.522
1389,neu,0.478
1390,pos,0.0
1391,compound,-0.5216
1392,neg,0.194
1393,neu,0.806
1394,pos,0.0
1395,compound,-0.34
1396,neg,0.114
1397,neu,0.886
1398,pos,0.0
1399,compound,-0.1695
1400,neg,0.0
1401,neu,0.779
1402,pos,0.221
1403,compound,0.5267
1404,neg,0.139
1405,neu,0.861
1406,pos,0.0
1407,compound,-0.2732
1408,neg,0.087
1409,neu,0.913
1410,pos,0.0
1411,compound,-0.2263
1412,neg,0.266
1413,neu,0.506
1414,pos,0.228
1415,compound,-0.0772
1416,neg,0.0
1417,neu,0.465
1418,pos,0.535
1419,compound,0.3182
1420,neg,0.0
1421,neu,1.0
1422,pos,0.0
1423,compound,0.0
1424,neg,0.0
1425,neu,0.879
1426,pos,0.121
1427,compound,0.4404
1428,neg,0.0
1429,neu,1.0
1430,pos,0.0
1431,compound,0.0
1432,neg,0.0
1433,neu,1.0
1434,pos,0.0
1435,compound,0.0
1436,neg,0.0
1437,neu,1.0
1438,pos,0.0
1439,compound,0.0
1440,neg,0.0
1441,neu,1.0
1442,pos,0.0
1443,compound,0.0
1444,neg,0.0
1445,neu,0.833
1446,pos,0.167
1447,compound,0.3818
1448,neg,0.0
1449,neu,1.0
1450,pos,0.0
1451,compound,0.0
1452,neg,0.0
1453,neu,1.0
1454,pos,0.0
1455,compound,0.0
1456,neg,0.135
1457,neu,0.721
1458,pos,0.144
1459,compound,0.0754
1460,neg,0.0
1461,neu,0.443
1462,pos,0.557
1463,compound,0.8201
1464,neg,0.0
1465,neu,0.952
1466,pos,0.048
1467,compound,0.0772
1468,neg,0.0
1469,neu,0.919
1470,pos,0.081
1471,compound,0.296
1472,neg,0.0
1473,neu,0.859
1474,pos,0.141
