label,values
neg,0.0
neu,0.805
pos,0.195
compound,0.1779
neg,0.0
neu,0.334
pos,0.666
compound,0.6114
neg,0.0
neu,0.334
pos,0.666
compound,0.6114
neg,0.0
neu,0.827
pos,0.173
compound,0.3182
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,0.9
pos,0.1
compound,0.4995
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.094
neu,0.755
pos,0.151
compound,0.296
neg,0.0
neu,0.807
pos,0.193
compound,0.4723
neg,0.146
neu,0.854
pos,0.0
compound,-0.34
neg,0.07
neu,0.852
pos,0.078
compound,0.0516
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.056
neu,0.944
pos,0.0
compound,-0.3182
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,0.915
pos,0.085
compound,0.4767
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.307
neu,0.655
pos,0.038
compound,-0.9709
neg,0.054
neu,0.685
pos,0.26
compound,0.802
neg,0.122
neu,0.717
pos,0.161
compound,0.0258
neg,0.0
neu,0.706
pos,0.294
compound,0.6124
neg,0.0
neu,0.775
pos,0.225
compound,0.4404
neg,0.121
neu,0.751
pos,0.127
compound,0.0258
neg,0.0
neu,0.602
pos,0.398
compound,0.8225
neg,0.111
neu,0.889
pos,0.0
compound,-0.3089
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,0.752
pos,0.248
compound,0.8353
neg,0.03
neu,0.791
pos,0.179
compound,0.813
neg,0.0
neu,0.847
pos,0.153
compound,0.4019
neg,0.0
neu,0.784
pos,0.216
compound,0.7003
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,0.693
pos,0.307
compound,0.8516
neg,0.366
neu,0.543
pos,0.091
compound,-0.765
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,0.915
pos,0.085
compound,0.1027
neg,0.32
neu,0.601
pos,0.079
compound,-0.765
neg,0.0
neu,1.0
